Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment
,,,,,,Get,Set,,Remote,Local,,
aliyun-odps-python-sdk,433,https://github.com/aliyun/aliyun-odps-python-sdk,N/A,Y,,Attr,Attr,,import_tornado,,,,Yes
rome,432,https://github.com/SamsungLabs/rome,N/A,Y,,Attr,Attr,,,,,,Yes
rome,432,https://github.com/SamsungLabs/rome,N/A,Y,,Attr,Field,,,,,,Yes
djangorestframework-dataclasses,432,https://github.com/oxan/djangorestframework-dataclasses,N/A,Y,,Attr,Attr,,import_django,,,,Yes
Open-NLLB,431,https://github.com/gordicaleksa/Open-NLLB,N/A,Y,,Attr,Attr,,,,,,Yes
model-card-toolkit,427,https://github.com/tensorflow/model-card-toolkit,N/A,Y,,Attr,Attr,,,,,,Yes
TwitchLink,419,https://github.com/devhotteok/TwitchLink,N/A,Y,,Attr,Attr,,,,,,Yes
TwitchLink,419,https://github.com/devhotteok/TwitchLink,N/A,Y,,Attr,Attr,,,,,,Yes
ViperIDE,418,https://github.com/vshymanskyy/ViperIDE,N/A,Y,,Attr,Attr,,,,,,Yes
etlpy,417,https://github.com/ferventdesert/etlpy,N/A,Y,,Attr/Field,Attr,,,,,,Yes
automlbenchmark,414,https://github.com/openml/automlbenchmark,N/A,Y,,Attr,Attr,,,,,,Yes
mtt-distillation,410,https://github.com/GeorgeCazenavette/mtt-distillation,N/A,Y,,Attr,Attr,,,,,,Yes
mtt-distillation,410,https://github.com/GeorgeCazenavette/mtt-distillation,N/A,Y,,Attr,Attr,,,,,,Yes
ssl_detection,409,https://github.com/google-research/ssl_detection,N/A,Y,,Attr,Attr,,,,,,Yes
Trace,409,https://github.com/microsoft/Trace,N,Y,"type checking before setAttr, obj.__dict__.items() to avoid traversing prototype.",N,N,,,,,,
check50,406,https://github.com/cs50/check50,N/A,Y,,Attr,Attr,,,,,,Yes
check50,406,https://github.com/cs50/check50,N/A,Y,,Attr,Attr,,,,,,Yes
peach,405,https://github.com/MozillaSecurity/peach,N/A,Y,,Attr,Field,,,,,,Yes
peach,405,https://github.com/MozillaSecurity/peach,N/A,Y,,Attr/Field,Field,,,,,,Yes
peach,405,https://github.com/MozillaSecurity/peach,N/A,Y,,Attr/Field,Field,,,,,,Yes
peach,405,https://github.com/MozillaSecurity/peach,N/A,Y,,Attr,Field,,,,,,Yes
pyrobolearn,405,https://github.com/robotlearn/pyrobolearn,N/A,Y,,Attr/Field,Attr,,,,,,Yes
Auto1111SDK,399,https://github.com/Auto1111SDK/Auto1111SDK,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
Auto1111SDK,399,https://github.com/Auto1111SDK/Auto1111SDK,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
ansible-navigator,399,https://github.com/ansible/ansible-navigator,N,Y,dest obj dataclass check,,,,,,,,
ProtoMotions,399,https://github.com/NVlabs/ProtoMotions,N,Y,"issac_utils:apply_random_samples, false positive",,,,,,,,
ADAPT,395,https://github.com/jxbbb/ADAPT,N/A,Y,,Attr,Attr,,,,,,Yes
pymtl3,393,https://github.com/pymtl/pymtl3,N,Y,only one layer.,N,N,,,,,,
pymtl3,393,https://github.com/pymtl/pymtl3,N,Y,obj type check: NamedObject,,,,,,,,
