Application,Downloads,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment,New
azure-ai-ml,1407670,https://pypi.org/project/azure-ai-ml,N/A,Y,,Attr,Attr,,,,,,Yes
dlt,1361515,https://pypi.org/project/dlt,N/A,Y,,Attr/Field,Attr/Field,,,,,,No
dlt,1361515,https://pypi.org/project/dlt,N/A,Y,,Attr/Field,Attr,,,,,,No
diracx-client,1350953,https://pypi.org/project/diracx-client,N/A,Y,,Attr,Attr,,,,,,Yes
mediapipe,1301079,https://pypi.org/project/mediapipe,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-hybridcompute,1212218,https://pypi.org/project/azure-mgmt-hybridcompute,N/A,Y,,Attr,Attr,,,,,,Yes
jsonargparse,1162237,https://pypi.org/project/jsonargparse,N/A,Y,,Attr/Field,Attr/Field,,,,,,No
azure-mgmt-mysqlflexibleservers,1157621,https://pypi.org/project/azure-mgmt-mysqlflexibleservers,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-postgresqlflexibleservers,1146860,https://pypi.org/project/azure-mgmt-postgresqlflexibleservers,N/A,Y,,Attr,Attr,,,,,,Yes
modelscope,1135783,https://pypi.org/project/modelscope,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_fastapi|import_starlette,,,,No
xsdata,1085469,https://pypi.org/project/xsdata,N/A,Y,,Attr,Attr,,,,,,Yes
modal,1052508,https://pypi.org/project/modal,N/A,Y,,Attr,Attr,,.route|import_aiohttp|import_fastapi|import_flask,,,,Yes
fixtures,1034136,https://pypi.org/project/fixtures,N/A,Y,,Attr,Attr,,,,,,Yes
gluonts,963844,https://pypi.org/project/gluonts,N/A,Y,,Attr,Attr,,.route|import_flask,,,,No
panel,948801,https://pypi.org/project/panel,N/A,Y,,Attr,Attr,,import_fastapi|import_flask|import_tornado,,,,No
optimum,895227,https://pypi.org/project/optimum,N/A,Y,,Attr,Attr,,,,,,No
simple-parsing,816562,https://pypi.org/project/simple-parsing,N/A,Y,,Attr,Attr,,,,,,Yes
model-bakery,816233,https://pypi.org/project/model-bakery,N/A,Y,,Attr,Attr,,import_django,,,,Yes
azure-monitor-ingestion,781514,https://pypi.org/project/azure-monitor-ingestion,N/A,Y,,Attr,Attr,,,,,,Yes
ariadne,774317,https://pypi.org/project/ariadne,N/A,Y,,Attr,Attr,,import_starlette,,,,No
torchao,738632,https://pypi.org/project/torchao,N/A,Y,,Attr,Attr,,,,,,Yes
azure-mgmt-kusto,709641,https://pypi.org/project/azure-mgmt-kusto,N/A,Y,,Attr,Attr,,,,,,Yes
azure-ai-inference,695805,https://pypi.org/project/azure-ai-inference,N/A,Y,,Attr,Attr,,,,,,Yes
ragas,694828,https://pypi.org/project/ragas,N/A,Y,,Attr,Attr,,,,,,No
deepspeed,637213,https://pypi.org/project/deepspeed,N/A,Y,,Attr,Attr,,,,,,Yes
azure-communication-email,545374,https://pypi.org/project/azure-communication-email,N/A,Y,,Attr,Attr,,,,,,Yes
