Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason,Types,,Input,,,Status,Comment,New
azure-ai-inference,695805,https://pypi.org/project/azure-ai-inference,Y,N/A,,,Attr,Attr,,,,,,Yes
ragas,694828,https://pypi.org/project/ragas,Y,N/A,,,Attr,Attr,,,,,,No
deepspeed,637213,https://pypi.org/project/deepspeed,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-communication-email,545374,https://pypi.org/project/azure-communication-email,Y,N/A,,,Attr,Attr,,,,,,Yes
datarobotx,519811,https://pypi.org/project/datarobotx,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,Yes
djangorestframework-dataclasses,506171,https://pypi.org/project/djangorestframework-dataclasses,Y,N/A,,,Attr,Attr,,import_django,,,,Yes
azure-containerregistry,476858,https://pypi.org/project/azure-containerregistry,Y,N/A,,,Attr,Attr,,,,,,Yes
ibis-framework,454170,https://pypi.org/project/ibis-framework,Y,N/A,,,Attr,Attr,,import_streamlit,,,,Yes
docarray,442112,https://pypi.org/project/docarray,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,No
paddlepaddle,438267,https://pypi.org/project/paddlepaddle,Y,N/A,,,Attr,Attr,,,,,,Yes
tf-keras-nightly,414442,https://pypi.org/project/tf-keras-nightly,Y,N/A,,,Attr/Field,Attr/Field,,,,,,Yes
traits,398300,https://pypi.org/project/traits,Y,N/A,,,Attr,Attr,,,,,,Yes
azureml-train-automl-client,392477,https://pypi.org/project/azureml-train-automl-client,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
azure-mgmt-quota,386698,https://pypi.org/project/azure-mgmt-quota,Y,N/A,,,Attr,Attr,,,,,,Yes
clearml,381030,https://pypi.org/project/clearml,Y,Y,,,Attr/Field,Attr/Field,Function,import_pytorch_lightning|import_gradio|import_fastapi|import_starlette,,,,No
clearml,381030,https://pypi.org/project/clearml,Y,N/A,,,Attr/Field,Field,,,,,,No
clearml,381030,https://pypi.org/project/clearml,Y,N/A,,,Attr,Field,,,,,,No
spyne,370553,https://pypi.org/project/spyne,Y,N/A,,,Attr,Attr,,import_pyramid|import_cherrypy|add_route|import_flask|import_django|route_name=|.route,,,,No
spyne,370553,https://pypi.org/project/spyne,Y,N/A,,,Attr,Field,,,,,,No
beanie,362462,https://pypi.org/project/beanie,Y,N,,,Attr/Field,Attr/Field,,,,,,No
tensorflow-model-optimization,352293,https://pypi.org/project/tensorflow-model-optimization,Y,N/A,,,Attr,Attr,,,,,,Yes
litestar,348273,https://pypi.org/project/litestar,Y,N/A,,,Attr/Field,Field,,,,,,No
litestar,348273,https://pypi.org/project/litestar,Y,N/A,,,Attr,Field,,,,,,No
robocorp-log,343316,https://pypi.org/project/robocorp-log,Y,N/A,,,Attr,Attr,,,,,,Yes
cloudinary,337056,https://pypi.org/project/cloudinary,Y,N/A,,,Attr,Field,,import_django,,,,Yes
pyro-ppl,299735,https://pypi.org/project/pyro-ppl,Y,N/A,,,Attr,Attr,,,,,,Yes
bigframes,299218,https://pypi.org/project/bigframes,Y,N/A,,,Attr,Attr,,import_flask,,,,Yes
azure-eventhub-checkpointstoreblob-aio,297132,https://pypi.org/project/azure-eventhub-checkpointstoreblob-aio,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-ai-contentsafety,292385,https://pypi.org/project/azure-ai-contentsafety,Y,N/A,,,Attr,Attr,,,,,,Yes
captum,267430,https://pypi.org/project/captum,Y,N/A,,,Attr,Attr,,import_flask|.route,,,,No
comet-ml,245333,https://pypi.org/project/comet-ml,Y,N/A,,,Attr,Attr,,import_streamlit,,,,Yes
nncf,236705,https://pypi.org/project/nncf,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-ai-textanalytics,236629,https://pypi.org/project/azure-ai-textanalytics,Y,N/A,,,Attr,Attr,,,,,,Yes
onnxsim,229285,https://pypi.org/project/onnxsim,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-mgmt-costmanagement,229125,https://pypi.org/project/azure-mgmt-costmanagement,Y,N/A,,,Attr,Attr,,,,,,Yes
netapp-ontap,228971,https://pypi.org/project/netapp-ontap,Y,N/A,,,Attr,Attr,,rule_instantiation,,,,Yes
meta,226540,https://pypi.org/project/meta,Y,N/A,,,Attr,Attr/Field,,,,,,Yes
azure-eventhub-checkpointstoreblob,222397,https://pypi.org/project/azure-eventhub-checkpointstoreblob,Y,N/A,,,Attr,Attr,,,,,,Yes
ipex-llm,221639,https://pypi.org/project/ipex-llm,Y,N/A,,,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_fastapi|import_starlette,,,,No
diastatic-malt,207770,https://pypi.org/project/diastatic-malt,Y,N/A,,,Attr,Attr,,,,,,Yes
mo-dots,204011,https://pypi.org/project/mo-dots,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,No
azure-mgmt-databricks,196014,https://pypi.org/project/azure-mgmt-databricks,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-messaging-webpubsubservice,193104,https://pypi.org/project/azure-messaging-webpubsubservice,Y,N/A,,,Attr,Attr,,,,,,Yes
smolagents,191273,https://pypi.org/project/smolagents,Y,Y,,,Attr/Field,Attr/Field,None,import_gradio,,,,Yes
azure-ai-translation-document,187489,https://pypi.org/project/azure-ai-translation-document,Y,N/A,,,Attr,Attr,,,,,,Yes
pytest-sftpserver,186991,https://pypi.org/project/pytest-sftpserver,Y,Y,,,Attr/Field,Attr/Field,Remote,,,,TODO: Add PoC,Yes
azure-ai-language-questionanswering,186856,https://pypi.org/project/azure-ai-language-questionanswering,Y,N/A,,,Attr,Attr,,,,,,Yes
botorch,186236,https://pypi.org/project/botorch,Y,N/A,,,Attr,Attr,,,,,,Yes
azure-ai-language-conversations,186084,https://pypi.org/project/azure-ai-language-conversations,Y,N/A,,,Attr,Attr,,,,,,Yes
vispy,150589,https://pypi.org/project/vispy,Y,N/A,,,Attr,Attr,,,,,,No
google-gax,147465,https://pypi.org/project/google-gax,Y,N,,,Attr/Field,Attr/Field,,,,,,Yes
serial,145208,https://pypi.org/project/serial,Y,N/A,,,Attr,Field,,,,,,Yes
hera,144758,https://pypi.org/project/hera,Y,N/A,,,Attr,Attr,,,,,,Yes
onnxoptimizer,144653,https://pypi.org/project/onnxoptimizer,Y,N/A,,,Attr,Attr,,,,,,Yes
pyworxcloud,136098,https://pypi.org/project/pyworxcloud,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
starlette-admin,135805,https://pypi.org/project/starlette-admin,Y,N/A,,,Attr,Attr,,import_starlette,,,,Yes
qcodes,134006,https://pypi.org/project/qcodes,Y,N/A,,,Attr,Attr,,,,,,Yes
