Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
Plex-Trakt-Scrobbler,1457,https://github.com/trakt/Plex-Trakt-Scrobbler,Y,N,,Inherited the vulnerability from jsonpickle,Attr/Field,Attr/Field,,import_flask|import_django,,,,Yes
legged_gym,1450,https://github.com/leggedrobotics/legged_gym,Y,N/A,,,Attr,Attr,,,,,,
NeuralSpeech,1395,https://github.com/microsoft/NeuralSpeech,Y,N/A,,,Attr,Attr,,,,,,
building_tools,1376,https://github.com/ranjian0/building_tools,Y,N/A,,,Attr,Attr,,,,,blender addon,
python-opcua,1374,https://github.com/FreeOpcUa/python-opcua,Y,N/A,,,Attr,Attr,,,,,,
Lidar_AI_Solution,1349,https://github.com/NVIDIA-AI-IOT/Lidar_AI_Solution,Y,N/A,,,Attr,Attr,,,,,,
pydash,1344,https://github.com/dgilland/pydash,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,
flask-restplus-server-example,1341,https://github.com/frol/flask-restplus-server-example,Y,N,,,Attr,Attr,,import_flask|.route,,,,
pyRevit,1328,https://github.com/pyrevitlabs/pyRevit,Y,N,,,Attr/Field,Field,,,,,,
mayavi,1323,https://github.com/enthought/mayavi,Y,N/A,,,Attr,Attr,,,,,,
deepdiff,1303,https://github.com/seperman/deepdiff,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,
diplomacy_cicero,1303,https://github.com/facebookresearch/diplomacy_cicero,Y,N,,,N,N,,,,,,
jython,1264,https://github.com/jython/jython,Y,N/A,,,Attr,Attr,,,,,,Yes
dnf,1258,https://github.com/rpm-software-management/dnf,Y,N/A,,,Attr,Attr,,,,,,
infernal-twin,1239,https://github.com/entropy1337/infernal-twin,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
pykka,1234,https://github.com/jodal/pykka,Y,N/A,,,Attr,Attr,,,,,library,
brevitas,1217,https://github.com/Xilinx/brevitas,Y,N/A,,,Attr,Attr,,,,,,
