Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
extreme-parkour,620,https://github.com/chengxuxin/extreme-parkour,Y,N/A,,,Attr,Attr,,import_flask|dot_add_url_rule,,,,Yes
humanplus,613,https://github.com/MarkFzp/humanplus,Y,N/A,,,Attr,Attr,,,,,,Yes
humanplus,613,https://github.com/MarkFzp/humanplus,Y,N/A,,,Attr,Attr,,,,,,Yes
sbi,611,https://github.com/sbi-dev/sbi,Y,N,,obj.__dict__.items() to avoid traversing prototype.,N,N,,,,,,
3D-Diffusion-Policy,610,https://github.com/YanjieZe/3D-Diffusion-Policy,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
blrec,609,https://github.com/acgnhiki/blrec,Y,N/A,,,Attr,Attr,,import_aiohttp|import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
blrec,609,https://github.com/acgnhiki/blrec,Y,N/A,,,Attr,Attr,,import_aiohttp|import_starlette|.get/.post/.api_route|import_fastapi,,,,Yes
jupyter-ros,595,https://github.com/RoboStack/jupyter-ros,Y,N/A,,,Attr,Attr,,,,,,Yes
jupyter-ros,595,https://github.com/RoboStack/jupyter-ros,Y,N/A,,,Attr,Attr,,,,,,Yes
NonDeepNetworks,586,https://github.com/imankgoyal/NonDeepNetworks,Y,N/A,,,Attr,Attr,,,,,,Yes
pyobjc,584,https://github.com/ronaldoussoren/pyobjc,Y,N/A,,,Attr,Attr,,,,,,Yes
pyobjc,584,https://github.com/ronaldoussoren/pyobjc,Y,N/A,,,Attr,Attr/Field,,,,,,Yes
SillyTavern-Extras,576,https://github.com/SillyTavern/SillyTavern-Extras,Y,N/A,,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
SillyTavern-Extras,576,https://github.com/SillyTavern/SillyTavern-Extras,Y,N/A,,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
BiomedGPT,576,https://github.com/taokz/BiomedGPT,Y,N/A,,,Attr,Attr,,,,,,Yes
see,575,https://github.com/Bartzi/see,Y,N/A,,,Attr,Attr,,,,,,Yes
see,575,https://github.com/Bartzi/see,Y,N/A,,,Attr,Attr,,,,,,Yes
phillip,565,https://github.com/vladfi1/phillip,Y,P,,,Attr,Attr,,,,,,
SAELens,564,https://github.com/jbloomAus/SAELens,N,N/A,,,N,N,,https://github.com/jbloomAus/SAELens/blob/4935b8351d8b2bdcbcc6b4f3a5c61b33ab82cf9e/sae_lens/analysis/hooked_sae_transformer.py#L36,,,,
RSPrompter,559,https://github.com/KyanChen/RSPrompter,Y,N/A,,,Attr,Attr,,,,,,Yes
RSPrompter,559,https://github.com/KyanChen/RSPrompter,Y,N/A,,,Attr,Attr,,,,,,Yes
nzbhydra,559,https://github.com/theotherp/nzbhydra,Y,N,,"copy.py , false positive",,,,,,,,
torchopt,558,https://github.com/metaopt/torchopt,Y,N/A,,,Attr,Attr,,,,,,Yes
dd-trace-py,555,https://github.com/DataDog/dd-trace-py,Y,N,,self set,,,,,,,,
InterFuser,554,https://github.com/opendilab/InterFuser,Y,N/A,,,Attr,Attr,,,,,,Yes
UnifiedSKG,550,https://github.com/xlang-ai/UnifiedSKG,Y,N/A,,,Attr,Attr,,,,,,Yes
CenterNet-better,549,https://github.com/FateScript/CenterNet-better,Y,N/A,,,Attr,Attr,,,,,,Yes
CenterNet-better,549,https://github.com/FateScript/CenterNet-better,Y,N/A,,,Attr,Attr,,,,,,Yes
pogom,548,https://github.com/favll/pogom,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
pogom,548,https://github.com/favll/pogom,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
VPTQ,545,https://github.com/microsoft/VPTQ,Y,N/A,,,Attr,Attr,,,,,,Yes
pygfx,544,https://github.com/pygfx/pygfx,Y,N/A,,,Attr,Attr,,django_path,,,,Yes
mcap,540,https://github.com/foxglove/mcap,Y,N/A,,,Attr,Attr,,,,,,Yes
mcap,540,https://github.com/foxglove/mcap,Y,N/A,,,Attr,Attr,,,,,,Yes
astroid,538,https://github.com/pylint-dev/astroid,Y,N/A,,,Attr,Attr,,,,,,Yes
Chinese-Llama-2,534,https://github.com/longyuewangdcu/Chinese-Llama-2,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
oxo,533,https://github.com/Ostorlab/oxo,Y,N/A,,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
oxo,533,https://github.com/Ostorlab/oxo,Y,N/A,,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
google-ads-python,533,https://github.com/googleads/google-ads-python,Y,N/A,,,Attr,Attr,,,,,,Yes
CoTNet,527,https://github.com/JDAI-CV/CoTNet,Y,N/A,,,Attr,Attr,,,,,,Yes
CoTNet,527,https://github.com/JDAI-CV/CoTNet,Y,N/A,,,Attr,Attr,,,,,,Yes
PIRender,527,https://github.com/RenYurui/PIRender,Y,N/A,,,Attr,Attr,,,,,,Yes
