Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
SAELens,564,https://github.com/jbloomAus/SAELens,N,N/A,"set_deep_attr:sae_lens/analysis/hooked_sae_transformer.py,_reset_sae:sae_lens/analysis/hooked_sae_transformer.py,reset_saes:sae_lens/analysis/hooked_sae_transformer.py,run_with_saes:sae_lens/analysis/hooked_sae_transformer.py,run_with_cache_with_saes:sae_lens/analysis/hooked_sae_transformer.py,run_with_hooks_with_saes:sae_lens/analysis/hooked_sae_transformer.py,saes:sae_lens/analysis/hooked_sae_transformer.py",,N,N,,,,,,
RSPrompter,559,https://github.com/KyanChen/RSPrompter,Y,N/A,"_set_decoder_layers:mmpretrain/models/multimodal/flamingo/adapter.py,setattr_recursive:mmpretrain/models/multimodal/flamingo/utils.py",,Attr,Attr,,import_gradio,,,,Yes
RSPrompter,559,https://github.com/KyanChen/RSPrompter,Y,N/A,,,Attr,Attr,,,,,,Yes
nzbhydra,559,https://github.com/theotherp/nzbhydra,Y,N,_import_path:libs/passlib/ext/django/utils.py,"copy.py , false positive",,,,route_name=|import_falcon|import_pyramid|.route|import_bottle|rule_instantiation|@get/post/route|add_route|import_tornado|import_cherrypy|import_django|dot_add_url_rule|import_flask|dot_endpoint|import_aiohttp|view_functions,,,,
torchopt,558,https://github.com/metaopt/torchopt,Y,N/A,"swap_state:torchopt/nn/stateless.py,_stateless_objective_fn:torchopt/diff/implicit/nn/module.py,_stateless_optimality_fn:torchopt/diff/implicit/nn/module.py,recursive_setattr:torchopt/nn/stateless.py",,Attr,Attr,,,,,,Yes
dd-trace-py,555,https://github.com/DataDog/dd-trace-py,Y,N,,self set,,,,,,,,
InterFuser,554,https://github.com/opendilab/InterFuser,Y,N/A,set_layer:interfuser/timm/models/helpers.py,,Attr,Attr,,,,,,Yes
UnifiedSKG,550,https://github.com/xlang-ai/UnifiedSKG,Y,N/A,refresh_args_by_file_cfg:utils/configue.py,,Attr,Attr,,,,,,Yes
CenterNet-better,549,https://github.com/FateScript/CenterNet-better,Y,N/A,merge_from_list:dl_lib/configs/base_config.py,,Attr,Attr,,,,,,Yes
CenterNet-better,549,https://github.com/FateScript/CenterNet-better,Y,N/A,,,Attr,Attr,,,,,,Yes
pogom,548,https://github.com/favll/pogom,Y,N/A,_get_field_mapping:pogom/pgoapi/protobuf_to_dict.py,,Attr,Attr,,import_flask|.route,,,,Yes
